Type of weapon,Caliber,Brand/Model,Permissibility in civilian circulation,ID Code,Full Name,Date of Birth,Residential Address,Weapon Registered Date,License Number,Affiliation,Prior Incidents,Notes on Modifications,Nationality,Gender,Occupation,Education Level,Marital Status
Adapter,22LR,CMMG-Bravo-AR-15,Yes,37412200676,Andres Kuuse,1974-12-20,"846 Dmitri Locks, Port Toomasshire, NE 90756",2007-07-31,EE-GUN-445895,Reserve Military,No,Barrel shortened,Estonian,Male,Police Officer,High School,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,47305265820,Riina Laane,1973-05-26,"PSC 2019, Box 3245, APO AP 24488",2012-11-30,EE-GUN-898760,Reserve Military,Yes,Modified grip,Estonian,Female,Retired,PhD,Divorced
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,47002221672,Katrin Nurm,1970-02-22,"342 Kütt Motorway Apt. 789, Reinside, MA 83428",1985-04-06,EE-GUN-222749,None,No,Scope added,Estonian,Female,Nurse,High School,Single
Adapter,22LR,Blaser-R-8,Yes,39305288077,Tõnu Raudsepp,1993-05-28,"3057 Ljubov Knolls Apt. 437, Lake Sirjehaven, NM 00642",2025-02-08,EE-GUN-117693,None,No,Modified grip,Estonian,Male,Nurse,PhD,Widowed
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,47706042341,Tatjana Borissov,1977-06-04,"14568 Raivo Lodge, Sergejevtown, WV 91758",2018-01-13,EE-GUN-122443,None,None,Barrel shortened,Estonian,Female,Police Officer,High School,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,50012028510,Aleksander Nurk,2000-12-02,"989 Arula Plaza Apt. 537, South Piretbury, TX 59474",2020-05-27,EE-GUN-407353,None,Yes,-,Estonian,Male,Police Officer,High School,Single
Adapter,22 Hornet,Hubertus,Yes,49608014380,Mare Lukk,1996-08-01,"USCGC Ojaste, FPO AE 29994",2035-04-13,EE-GUN-331484,Reserve Military,Yes,Scope added,Estonian,Female,Retired,High School,Divorced
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,36608114215,Dmitri Korol,1966-08-11,"792 Žukov Club, Aivarview, NM 97101",1997-05-28,EE-GUN-872936,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Male,Nurse,Bachelor's,Married
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,37509197310,Jüri Järve,1975-09-19,"811 Peeter Lights Suite 937, Naumovton, KS 31619",2002-01-09,EE-GUN-877763,Reserve Military,Yes,Scope added,Estonian,Male,Police Officer,PhD,Divorced
Adapter,22LR,Blaser-R-8,Yes,38201109696,Sander Luts,1982-01-10,"6168 Mihkel Mission, Lake Valeriview, MS 17688",1996-01-25,EE-GUN-633427,Narva Gun Enthusiasts,Yes,Modified grip,Estonian,Male,Nurse,High School,Single
